1 TDS-1_A  IE-4010-4S24P:FDO2250U0AV ipservices Active, In Use permanent OK
2 TAS-1  IE-4010-4S24P:FDO2250U0AV ipservices Active, In Use permanent OK
3 TIR  IE-4010-4S24P:FDO2250U0AV ipservices Active, In Use permanent OK
4 MSC-1  IE-4010-4S24P:FDO2250U0AV ipservices Active, In Use permanent OK
5 MSH-1  IE-4010-4S24P:FDO2250U0AV ipservices Active, In Use permanent OK
6 MSH-2  IE-4010-4S24P:FDO2250U0AV ipservices Active, In Use permanent OK
7 MSH-3  IE-4010-4S24P:FDO2250U0AV ipservices Active, In Use permanent OK
8 MSH-4  IE-4010-4S24P:FDO2250U0AV ipservices Active, In Use permanent OK
9 TDS-1_B  IE-4010-4S24P:FDO2250U0AV ipservices Active, In Use permanent OK
